listed_name,release_year,total_shows,average_rating
"Classic Movies",1974,2,7.0000
Dramas,1974,1,13.0000
"British TV Shows",1974,1,12.0000
"Children & Family Movies",1974,1,9.0000
"Cult Movies",1974,1,6.0000
Comedies,1974,1,1.0000
"Action & Adventure",1973,4,6.7500
"Children & Family Movies",1973,1,9.0000
"Classic Movies",1973,1,6.0000
Documentaries,1973,1,6.0000
Dramas,1973,1,4.0000
"Action & Adventure",1972,1,6.0000
"International TV Shows",1972,1,1.0000
"Action & Adventure",1971,1,5.0000
"Classic Movies",1971,1,5.0000
Comedies,1970,1,5.0000
Dramas,1969,1,1.0000
"Action & Adventure",1968,1,10.0000
"Classic Movies",1968,1,6.0000
"Classic & Cult TV",1968,1,5.0000
"Classic Movies",1967,2,5.0000
"Classic & Cult TV",1967,1,2.0000
Dramas,1966,1,5.0000
"Classic Movies",1965,2,5.5000
"Classic & Cult TV",1963,1,5.0000
"Classic Movies",1962,1,6.0000
"Action & Adventure",1962,1,5.0000
Comedies,1962,1,5.0000
"Action & Adventure",1960,1,5.0000
Comedies,1960,1,5.0000
"Classic Movies",1960,1,1.0000
Dramas,1959,1,5.0000
"Classic Movies",1958,2,10.5000
"Action & Adventure",1956,1,9.0000
"Classic Movies",1955,1,10.0000
"Children & Family Movies",1954,1,2.0000
"Classic Movies",1947,1,1.0000
"Classic Movies",1946,2,5.0000
"TV Shows",1946,1,1.0000
"Classic Movies",1945,3,2.0000
"Classic Movies",1944,3,3.6667
Documentaries,1943,2,6.5000
"Classic Movies",1943,1,5.0000
"Classic Movies",1942,2,3.5000
"TV Shows",1925,1,5.0000
