director_name,cast_members,collaboration_count,average_rating
"Conrad Helten","Erica Lindbeck",3,2.6667
"Detlev Buck","Winnie Böwe",3,2.3333
"Detlev Buck","Martin Seifert",3,2.3333
"Detlev Buck","Fabian Buch",3,2.3333
"Detlev Buck","Charly Hübner",3,2.3333
"Subhash Ghai","Amrish Puri",3,2.3333
"Angga Dwimas Sasongko","Jajang C. Noer",3,2.3333
"Angga Dwimas Sasongko","Chicco Jerikho",3,2.3333
Priyadarshan,"Rajpal Yadav",3,2.3333
"Wenn V. Deramas","Ai-Ai de las Alas",3,2.3333
"Sermiyan Midyat","Sermiyan Midyat",3,2.0000
"Kunle Afolayan","Kunle Afolayan",3,2.0000
"Kıvanç Baruönü","Ezgi Mola",3,2.0000
"Kobun Shizuno","Yuki Kaji",3,1.0000
"Kobun Shizuno","Tomokazu Sugita",3,1.0000
"Kobun Shizuno","Takahiro Sakurai",3,1.0000
"Kobun Shizuno","Mamoru Miyano",3,1.0000
"Kobun Shizuno","Kenyu Horiuchi",3,1.0000
"Kobun Shizuno","Kenta Miyake",3,1.0000
"Kobun Shizuno","Kazuya Nakai",3,1.0000
"Kobun Shizuno","Kazuhiro Yamaji",3,1.0000
"Kobun Shizuno","Kana Hanazawa",3,1.0000
"Kobun Shizuno","Junichi Suwabe",3,1.0000
"Kobun Shizuno","Daisuke Ono",3,1.0000
"Kıvanç Baruönü","Eda Ece",3,1.0000
"David Batty","Abdelaziz N'Mila",3,1.0000
"Note Chern-Yim","Note Chern-Yim",3,1.0000
"Masahiko Murata","Chie Nakamura",3,1.0000
"Masahiko Murata","Junko Takeuchi",3,1.0000
"Farah Khan","Shah Rukh Khan",3,1.0000
"Hiroyuki Seshita","Daisuke Ono",3,1.0000
"Hiroyuki Seshita","Junichi Suwabe",3,1.0000
"Hiroyuki Seshita","Kazuya Nakai",3,1.0000
"Hiroyuki Seshita","Kenta Miyake",3,1.0000
"Hiroyuki Seshita","Kenyu Horiuchi",3,1.0000
"Hiroyuki Seshita","Tomokazu Sugita",3,1.0000
"Rajiv Mehra","Gulshan Grover",3,1.0000
"Bedran Güzel","İbrahim Büyükak",3,1.0000
"B. V. Nandini Reddy",Urvashi,3,1.0000
"B. V. Nandini Reddy","Teja Sajja",3,1.0000
"B. V. Nandini Reddy","Samantha Ruth Prabhu",3,1.0000
"B. V. Nandini Reddy","Rao Ramesh",3,1.0000
"B. V. Nandini Reddy",Rajendraprasad,3,1.0000
"B. V. Nandini Reddy",Pragathi,3,1.0000
"B. V. Nandini Reddy","Naga Shourya",3,1.0000
"B. V. Nandini Reddy",Lakshmi,3,1.0000
"B. V. Nandini Reddy","Jagapathi Babu",3,1.0000
"B. V. Nandini Reddy",Aishwarya,3,1.0000
"Noriyuki Abe","Ryotaro Okiayu",2,12.0000
"Noriyuki Abe","Masakazu Morita",2,12.0000
"Noriyuki Abe","Kentarô Itô",2,12.0000
"Noriyuki Abe","Fumiko Orikasa",2,12.0000
"Kazuchika Kise","Tarusuke Shingaki",2,12.0000
"Kazuchika Kise","Takuro Nakakuni",2,12.0000
"Kazuchika Kise","Kazuya Nakai",2,12.0000
"Yılmaz Erdoğan","İclal Aydın",2,12.0000
"Warren P. Sonoda","Tom Green",2,12.0000
"Kevin Smith","Harley Quinn Smith",2,11.0000
"Anirban Majumder","Sonal Kaushal",2,11.0000
"Anirban Majumder","Sabina Malik",2,11.0000
"Anirban Majumder","Rupa Bhimani",2,11.0000
"Anirban Majumder","Rajesh Kawa",2,11.0000
"Anirban Majumder","Julie Tejwani",2,11.0000
"Anirban Majumder","Jigna Bharadhwaj",2,11.0000
"Barry Sonnenfeld","Will Smith",2,10.0000
"Barry Sonnenfeld","Tony Shalhoub",2,10.0000
"Barry Sonnenfeld","Tommy Lee Jones",2,10.0000
"Barry Sonnenfeld","Rip Torn",2,10.0000
"Alfonso Cuarón","Daniel Giménez Cacho",2,10.0000
McG,"Cameron Diaz",2,10.0000
McG,"Crispin Glover",2,10.0000
McG,"Drew Barrymore",2,10.0000
McG,"Lucy Liu",2,10.0000
McG,"Luke Wilson",2,10.0000
McG,"Matt LeBlanc",2,10.0000
"Ron Howard","Woody Harrelson",2,10.0000
"Ron Howard","Thandie Newton",2,10.0000
"Ron Howard","Phoebe Waller-Bridge",2,10.0000
"Ron Howard","Paul Bettany",2,10.0000
"Ron Howard","Joonas Suotamo",2,10.0000
"Ron Howard","Emilia Clarke",2,10.0000
"Ron Howard","Donald Glover",2,10.0000
"Ron Howard","Alden Ehrenreich",2,10.0000
"Terry Gilliam","Heath Ledger",2,10.0000
"Steven Soderbergh","Andy Garcia",2,10.0000
"Steven Soderbergh","Bernie Mac",2,10.0000
"Steven Soderbergh","Brad Pitt",2,10.0000
"Steven Soderbergh","Casey Affleck",2,10.0000
"Steven Soderbergh","Don Cheadle",2,10.0000
"Steven Soderbergh","George Clooney",2,10.0000
"Steven Soderbergh","Scott Caan",2,10.0000
"Gabriele Muccino","Will Smith",2,10.0000
"Larry Latham","Dom DeLuise",2,9.0000
"Larry Latham","Lacey Chabert",2,9.0000
"Larry Latham","Nehemiah Persoff",2,9.0000
"Larry Latham","Pat Musick",2,9.0000
"Larry Latham","Thomas Dekker",2,9.0000
"Kevin Smith","Harley Morenstein",2,9.0000
"Karyn Kusama","Mike Doyle",2,9.0000
"Karyn Kusama","Lindsay Burdge",2,9.0000
"Jeremy Saulnier","Stacy Rock",2,9.0000
"John G. Avildsen","Burgess Meredith",2,9.0000
